election_id,prefecture,party,votes_male,votes_female,votes_total,source_page
h26-12-14,鹿児島県,日本共産党,86300.308,,86300.308,27
h26-12-14,鹿児島県,次世代の党,,,,27
h26-12-14,鹿児島県,社会民主党,28281,,28281,27
h26-12-14,鹿児島県,生活の党,,,,27
h26-12-14,沖縄県,日本共産党,57935,,57935,27
h26-12-14,沖縄県,次世代の党,,,,27
h26-12-14,沖縄県,社会民主党,85781,,85781,27
h26-12-14,沖縄県,生活の党,89110,,89110,27
h26-12-14,合計,日本共産党,5070162.793,1970007,7040169.793,27
h26-12-14,合計,次世代の党,913830.994,33565,947395.994,27
h26-12-14,合計,社会民主党,419347,,419347,27
h26-12-14,合計,生活の党,427088,87487,514575,27
h26-12-14,北海道,諸派,,,,28
h26-12-14,北海道,無所属,13444,46922,60366,28
h26-12-14,北海道,__TOTAL__,2188941,298402,2487343,28
h26-12-14,青森県,諸派,,,,28
h26-12-14,青森県,無所属,,,,28
h26-12-14,青森県,__TOTAL__,427307,88199,515506,28
h26-12-14,岩手県,諸派,,,,28
h26-12-14,岩手県,無所属,,,,28
h26-12-14,岩手県,__TOTAL__,532168,61783,593951,28
h26-12-14,宮城県,諸派,,,,28
h26-12-14,宮城県,無所属,,,,28
h26-12-14,宮城県,__TOTAL__,741415,170782,912197,28
h26-12-14,秋田県,諸派,,,,28
h26-12-14,秋田県,無所属,,,,28
h26-12-14,秋田県,__TOTAL__,473763,14333,488096,28
h26-12-14,山形県,諸派,,,,28
h26-12-14,山形県,無所属,79703,,79703,28
h26-12-14,山形県,__TOTAL__,455927,90958,546885,28
h26-12-14,福島県,諸派,,,,28
h26-12-14,福島県,無所属,,,,28
h26-12-14,福島県,__TOTAL__,688682.991,137667,826349.991,28
h26-12-14,茨城県,諸派,,,,28
h26-12-14,茨城県,無所属,90267,,90267,28
h26-12-14,茨城県,__TOTAL__,1111803,174454,1286257,28
h26-12-14,栃木県,諸派,,,,28
h26-12-14,栃木県,無所属,51627,,51627,28
h26-12-14,栃木県,__TOTAL__,747521,35981,783502,28
h26-12-14,群馬県,諸派,,,,28
h26-12-14,群馬県,無所属,54530,,54530,28
h26-12-14,群馬県,__TOTAL__,663270,135852,799122,28
h26-12-14,埼玉県,諸派,,,,28
